%Runtime 20151211,  Coefs: 0.9806 / 0.077
%nrec yyyy MM dd hh mm ss lat lon Ts
105 2015 10 09 16 07 42 36.84126 -76.26748 21.719
106 2015 10 09 16 10 49 36.84122 -76.26750 21.618
107 2015 10 09 16 13 57 36.84123 -76.26749 21.584
108 2015 10 09 16 17 03 36.84126 -76.26750 21.629
109 2015 10 09 16 20 10 36.84127 -76.26750 21.770
110 2015 10 09 16 26 22 36.84127 -76.26750 21.578
111 2015 10 09 16 38 47 36.84129 -76.26752 21.832
112 2015 10 09 16 41 54 36.84129 -76.26751 21.816
113 2015 10 09 16 48 09 36.84128 -76.26751 21.830
114 2015 10 09 16 51 18 36.84127 -76.26752 21.856
115 2015 10 09 17 04 00 36.84129 -76.26750 22.054
116 2015 10 09 17 10 13 36.84129 -76.26751 21.892
117 2015 10 09 17 13 20 36.84129 -76.26750 21.716
118 2015 10 09 17 16 27 36.84129 -76.26751 21.721
119 2015 10 09 17 22 39 36.84130 -76.26753 21.871
120 2015 10 09 17 25 46 36.84130 -76.26754 21.924
121 2015 10 09 17 28 52 36.84131 -76.26753 21.875
122 2015 10 09 17 31 59 36.84130 -76.26752 21.987
123 2015 10 09 17 38 12 36.84127 -76.26751 21.981
124 2015 10 09 17 41 18 36.84127 -76.26751 21.972
125 2015 10 09 17 44 25 36.84127 -76.26752 22.036
126 2015 10 09 17 50 39 36.84125 -76.26751 21.875
127 2015 10 09 18 09 15 36.84127 -76.26752 22.018
128 2015 10 09 18 12 22 36.84127 -76.26751 21.919
129 2015 10 09 18 21 39 36.84128 -76.26752 22.019
130 2015 10 09 18 27 52 36.84128 -76.26752 22.020
131 2015 10 09 18 30 59 36.84128 -76.26752 21.999
132 2015 10 09 18 34 05 36.84123 -76.26745 21.981
133 2015 10 09 18 49 36 36.84126 -76.26746 22.001
134 2015 10 09 18 52 43 36.84126 -76.26748 22.070
135 2015 10 09 18 55 49 36.84127 -76.26750 22.004
136 2015 10 09 18 58 56 36.84129 -76.26751 21.905
137 2015 10 09 19 02 02 36.84129 -76.26750 22.155
138 2015 10 09 19 05 10 36.84128 -76.26751 22.248
139 2015 10 09 19 14 29 36.84127 -76.26749 22.392
140 2015 10 09 19 20 46 36.84127 -76.26749 22.136
141 2015 10 09 19 30 06 36.84128 -76.26749 21.960
142 2015 10 09 19 33 13 36.84127 -76.26749 22.038
143 2015 10 09 19 36 24 36.84127 -76.26749 21.983
144 2015 10 09 19 39 34 36.84127 -76.26749 21.986
145 2015 10 09 19 45 54 36.84128 -76.26748 22.005
146 2015 10 09 19 49 01 36.84127 -76.26749 22.030
147 2015 10 09 19 52 07 36.84127 -76.26751 22.181
148 2015 10 09 19 55 14 36.84128 -76.26751 22.142
149 2015 10 09 20 04 35 36.84127 -76.26752 22.190
150 2015 10 09 20 11 18 36.84127 -76.26750 22.195
151 2015 10 09 20 23 43 36.84128 -76.26751 22.103
152 2015 10 09 20 42 51 36.84127 -76.26750 22.075
153 2015 10 09 20 45 59 36.84127 -76.26751 22.142
154 2015 10 09 20 52 15 36.84127 -76.26751 22.083
155 2015 10 09 20 55 24 36.84127 -76.26751 22.029
156 2015 10 09 20 58 30 36.84126 -76.26750 22.017
157 2015 10 09 21 07 51 36.84125 -76.26750 22.058
158 2015 10 09 21 10 59 36.84125 -76.26751 22.158
159 2015 10 09 21 14 06 36.84126 -76.26751 22.112
160 2015 10 09 21 20 20 36.84127 -76.26750 22.048
161 2015 10 09 21 29 39 36.84126 -76.26750 22.218
162 2015 10 09 21 38 58 36.84128 -76.26750 22.071
163 2015 10 09 21 45 11 36.84128 -76.26750 21.983
164 2015 10 09 21 54 43 36.84128 -76.26750 21.963
165 2015 10 09 21 57 52 36.84128 -76.26750 21.871
166 2015 10 09 22 00 59 36.84128 -76.26751 22.038
167 2015 10 09 22 10 22 36.84128 -76.26751 21.924
168 2015 10 09 22 13 28 36.84128 -76.26751 21.906
169 2015 10 09 22 16 35 36.84128 -76.26750 21.897
170 2015 10 09 22 22 48 36.84128 -76.26749 21.861
171 2015 10 09 22 29 01 36.84129 -76.26751 21.794
172 2015 10 09 22 35 14 36.84130 -76.26750 21.802
173 2015 10 09 22 38 20 36.84130 -76.26750 21.813
174 2015 10 09 22 41 27 36.84131 -76.26750 21.809
175 2015 10 09 22 44 34 36.84131 -76.26750 21.786
176 2015 10 09 22 47 40 36.84131 -76.26749 21.764
177 2015 10 09 23 00 10 36.84130 -76.26749 21.877
178 2015 10 09 23 21 17 36.84128 -76.26753 21.709
179 2015 10 09 23 27 31 36.84127 -76.26753 21.641
180 2015 10 10 00 16 26 36.84125 -76.26750 21.629
181 2015 10 10 00 19 32 36.84127 -76.26750 21.722
182 2015 10 10 00 45 49 36.84128 -76.26749 21.489
183 2015 10 10 06 58 29 36.84127 -76.26750 21.390
184 2015 10 10 07 01 36 36.84127 -76.26751 21.454
185 2015 10 10 07 04 43 36.84127 -76.26751 21.444
186 2015 10 10 07 07 49 36.84126 -76.26751 21.387
187 2015 10 10 07 10 55 36.84126 -76.26750 21.402
188 2015 10 10 07 14 02 36.84125 -76.26750 21.306
189 2015 10 10 07 20 15 36.84116 -76.26745 21.342
190 2015 10 10 07 26 27 36.84116 -76.26746 21.383
191 2015 10 10 07 29 35 36.84117 -76.26747 21.306
192 2015 10 10 07 32 42 36.84121 -76.26749 21.274
193 2015 10 10 07 38 55 36.84123 -76.26750 21.284
194 2015 10 10 07 42 02 36.84124 -76.26750 21.287
195 2015 10 10 07 51 22 36.84126 -76.26750 21.354
196 2015 10 10 07 54 29 36.84126 -76.26750 21.431
197 2015 10 10 08 03 50 36.84127 -76.26740 21.411
198 2015 10 10 08 06 57 36.84128 -76.26742 21.378
199 2015 10 10 08 13 09 36.84128 -76.26746 21.341
200 2015 10 10 08 22 28 36.84128 -76.26749 21.384
201 2015 10 10 08 25 34 36.84128 -76.26750 21.372
202 2015 10 10 08 28 40 36.84128 -76.26751 21.330
203 2015 10 10 08 31 47 36.84128 -76.26752 21.335
204 2015 10 10 08 34 53 36.84127 -76.26752 21.266
205 2015 10 10 08 41 06 36.84127 -76.26754 21.238
206 2015 10 10 08 47 21 36.84128 -76.26751 21.209
207 2015 10 10 08 50 28 36.84129 -76.26751 21.211
208 2015 10 10 08 53 35 36.84128 -76.26751 21.252
209 2015 10 10 08 56 41 36.84129 -76.26751 21.244
210 2015 10 10 09 06 31 36.84129 -76.26750 21.291
211 2015 10 10 09 09 37 36.84129 -76.26750 21.251
212 2015 10 10 09 12 44 36.84129 -76.26750 21.203
213 2015 10 10 09 18 57 36.84128 -76.26751 21.129
214 2015 10 10 09 22 04 36.84129 -76.26751 21.364
215 2015 10 10 09 31 24 36.84128 -76.26751 21.560
216 2015 10 10 09 34 31 36.84128 -76.26752 21.468
217 2015 10 10 09 40 44 36.84126 -76.26752 21.541
218 2015 10 10 09 46 57 36.84126 -76.26753 21.547
219 2015 10 10 09 56 16 36.84125 -76.26753 21.424
220 2015 10 10 09 59 24 36.84125 -76.26751 21.386
221 2015 10 10 10 08 43 36.84127 -76.26750 21.339
222 2015 10 10 10 14 55 36.84127 -76.26750 21.303
223 2015 10 10 10 18 02 36.84127 -76.26750 21.317
224 2015 10 10 10 21 09 36.84127 -76.26749 21.353
225 2015 10 10 10 24 16 36.84126 -76.26748 21.291
226 2015 10 10 10 30 28 36.84125 -76.26749 21.307
227 2015 10 10 10 42 54 36.84125 -76.26750 21.325
228 2015 10 10 10 46 00 36.84125 -76.26750 21.395
229 2015 10 10 10 57 16 36.84126 -76.26751 21.387
230 2015 10 10 11 00 23 36.84125 -76.26752 21.369
231 2015 10 10 11 03 29 36.84125 -76.26752 21.339
232 2015 10 10 11 06 36 36.84125 -76.26753 21.385
233 2015 10 10 11 09 43 36.84125 -76.26753 21.374
234 2015 10 10 11 12 49 36.84126 -76.26753 21.338
235 2015 10 10 11 15 56 36.84126 -76.26754 21.317
236 2015 10 10 11 19 03 36.84127 -76.26753 21.291
237 2015 10 10 11 22 10 36.84127 -76.26752 21.226
238 2015 10 10 11 25 18 36.84129 -76.26751 21.379
239 2015 10 10 11 34 38 36.84128 -76.26751 21.485
240 2015 10 10 11 40 51 36.84127 -76.26752 21.433
241 2015 10 10 12 20 51 36.84127 -76.26752 21.358
242 2015 10 10 12 45 31 36.84127 -76.26752 21.264
243 2015 10 10 12 48 38 36.84128 -76.26751 21.270
244 2015 10 10 12 51 44 36.84128 -76.26751 21.220
245 2015 10 10 12 54 51 36.84127 -76.26752 21.208
246 2015 10 10 13 01 04 36.84127 -76.26753 21.280
247 2015 10 10 13 07 18 36.84129 -76.26753 21.304
248 2015 10 10 13 13 31 36.84129 -76.26753 21.258
249 2015 10 10 13 16 38 36.84128 -76.26753 21.318
250 2015 10 10 13 46 14 36.84127 -76.26751 21.355
251 2015 10 10 13 52 28 36.84126 -76.26750 21.307
252 2015 10 10 13 58 40 36.84126 -76.26750 21.210
253 2015 10 10 14 01 47 36.84126 -76.26750 21.223
254 2015 10 10 14 04 54 36.84125 -76.26748 21.210
255 2015 10 10 14 08 02 36.84125 -76.26748 21.244
256 2015 10 10 14 11 08 36.84124 -76.26749 21.227
257 2015 10 10 14 14 16 36.84124 -76.26750 21.194
258 2015 10 10 14 17 23 36.84124 -76.26750 21.208
259 2015 10 10 14 20 31 36.84125 -76.26750 21.184
260 2015 10 10 14 26 45 36.84124 -76.26750 21.226
261 2015 10 10 14 29 52 36.84124 -76.26750 21.211
262 2015 10 10 14 51 39 36.84125 -76.26753 21.169
263 2015 10 10 14 54 46 36.84126 -76.26753 21.170
264 2015 10 10 15 07 43 36.84125 -76.26752 21.096
265 2015 10 10 15 10 49 36.84126 -76.26753 21.140
266 2015 10 10 15 13 56 36.84126 -76.26752 21.131
267 2015 10 10 15 23 16 36.84128 -76.26751 21.160
268 2015 10 10 15 26 22 36.84128 -76.26751 21.129
269 2015 10 10 15 29 29 36.84127 -76.26750 21.129
270 2015 10 10 15 41 56 36.84133 -76.26754 21.165
271 2015 10 10 15 45 04 36.84131 -76.26753 21.230
272 2015 10 10 15 48 10 36.84131 -76.26752 21.276
273 2015 10 10 15 51 16 36.84131 -76.26752 21.175
274 2015 10 10 16 00 37 36.84127 -76.26750 21.144
275 2015 10 10 16 19 14 36.84127 -76.26752 21.161
276 2015 10 10 16 22 22 36.84128 -76.26753 21.150
277 2015 10 10 16 25 28 36.84128 -76.26752 21.163
278 2015 10 10 16 28 36 36.84128 -76.26753 21.193
279 2015 10 10 16 31 43 36.84128 -76.26752 21.183
280 2015 10 10 21 50 50 36.84125 -76.26750 21.010
281 2015 10 10 21 53 57 36.84125 -76.26750 21.032
282 2015 10 10 21 57 03 36.84127 -76.26751 21.107
283 2015 10 10 22 00 10 36.84127 -76.26752 21.037
284 2015 10 10 22 06 23 36.84129 -76.26751 21.048
285 2015 10 10 22 12 37 36.84128 -76.26751 21.012
286 2015 10 10 22 21 59 36.84128 -76.26752 21.069
287 2015 10 10 22 25 05 36.84127 -76.26751 20.991
288 2015 10 10 22 31 19 36.84128 -76.26751 20.960
289 2015 10 10 22 34 26 36.84129 -76.26751 20.917
290 2015 10 10 22 40 39 36.84129 -76.26751 21.010
291 2015 10 10 22 46 54 36.84128 -76.26751 20.949
292 2015 10 10 22 50 01 36.84127 -76.26751 21.034
293 2015 10 10 22 53 09 36.84127 -76.26751 20.959
294 2015 10 10 22 56 16 36.84128 -76.26750 20.950
295 2015 10 10 23 02 28 36.84127 -76.26751 20.954
296 2015 10 10 23 05 35 36.84127 -76.26752 20.911
297 2015 10 10 23 11 48 36.84128 -76.26753 20.958
298 2015 10 10 23 18 02 36.84128 -76.26753 20.785
299 2015 10 10 23 21 09 36.84127 -76.26753 20.940
300 2015 10 10 23 27 23 36.84124 -76.26765 20.895
301 2015 10 10 23 30 30 36.84126 -76.26761 20.950
302 2015 10 10 23 36 44 36.84128 -76.26757 21.085
303 2015 10 10 23 42 58 36.84130 -76.26756 20.951
304 2015 10 10 23 46 04 36.84127 -76.26764 21.344
305 2015 10 10 23 55 25 36.84127 -76.26755 21.443
306 2015 10 11 00 04 47 36.84010 -76.26745 21.065
307 2015 10 11 00 07 54 36.83960 -76.27289 20.814
308 2015 10 11 00 11 01 36.83977 -76.27884 20.774
309 2015 10 11 00 14 07 36.84084 -76.28337 20.716
310 2015 10 11 00 20 21 36.84436 -76.29635 20.603
311 2015 10 11 00 29 41 36.85771 -76.31202 20.559
312 2015 10 11 00 35 54 36.86580 -76.32404 20.518
313 2015 10 11 00 39 01 36.87105 -76.33096 20.412
314 2015 10 11 00 45 15 36.88554 -76.33456 20.174
315 2015 10 11 00 48 22 36.89292 -76.33556 20.273
316 2015 10 11 01 00 47 36.92325 -76.33844 20.249
317 2015 10 11 01 13 12 36.95472 -76.33650 20.255
318 2015 10 11 01 16 19 36.96281 -76.33534 20.274
319 2015 10 11 01 19 27 36.97055 -76.33319 20.137
320 2015 10 11 01 22 34 36.97660 -76.32703 20.160
321 2015 10 11 01 25 41 36.98237 -76.32044 20.206
322 2015 10 11 01 28 47 36.98773 -76.31429 20.190
323 2015 10 11 02 58 23 36.96071 -76.07356 19.904
324 2015 10 11 03 01 30 36.95830 -76.06616 20.011
325 2015 10 11 03 14 48 36.94870 -76.03332 19.891
326 2015 10 11 03 34 26 36.93443 -75.98267 19.954
